cmd=numactl --physcpubind=0-7,16-23,24-31,32-39,48-55,56-63   ../build/benchmarks/pacman_bench --benchmark_repetitions=1 --benchmark_filter=/(50)/.*/threads:(4)$   --benchmark_out=../results/etc_3_0 --benchmark_out_format=json reps=1
total keys: 20000000 NUM_OPS_PER_THREAD: 1000000000 NUM_WARMUP_OPS_PER_THREAD: 0
benchmark: ETC
The number of inputs is very large. DBFixture/bench will be repeated at least 320 times.
2024-08-26T23:30:31-05:00
Running ../build/benchmarks/pacman_bench
Run on (64 X 2000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x32)
  L1 Instruction 64 KiB (x32)
  L2 Unified 512 KiB (x32)
  L3 Unified 8192 KiB (x8)
Load Average: 1.64, 0.52, 0.19
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
[1724733031]	Setup starts!
Init capacity utilization 50%  threads of service / gc : 4 / 2
[1724733031]	Setup starts!
[1724733031]	Setup starts!
[1724733031]	Setup starts!
Using MADVISE_HUGE
idx_start_addr_ = 0x7f164ec00000, is aligned to 2MB = 1
idx_pool_size_ = 10737418240, is aligned to 2MB = 1
DB index type: FastFair
Using MADVISE_HUGE
pool_start_ 0x7f1453a00000, is aligned to 2M? 1
total_log_size_ 0x1fb000000, is aligned to 2M? 1
[1724733031]	Initializing log segments...
Log: pool_start 0x7f1453a00000 total segments: 2028  cleaners: 2
[1724733032]Initialized 2026 free log segments...
[1724733032]	DB init finished in 0.681640 seconds
[1724733032]	DB init finished in 0.681454 seconds
[1724733032]	DB init finished in 0.681555 seconds
[1724733032]	DB init finished in 0.681817 seconds
[1724733041]	DB load finished in 9.248561 seconds
[1724733041]	DB load finished in 9.288803 seconds
[1724733041]	DB load finished in 9.333742 seconds
[1724733042]	DB load finished in 9.466467 seconds
[1724733042]	DB warmup finished in 0.000023 seconds
[1724733042]	DB warmup finished in 0.177713 seconds
[1724733042]	DB warmup finished in 0.217954 seconds
[1724733042]	DB warmup finished in 0.132937 seconds
[1724733042]	ETC init!
[1724733042]	ETC starts!
[1724733042]	ETC init!
[1724733042]	ETC starts!
[1724733042]	ETC init!
[1724733042]	ETC starts!
[1724733042]	ETC init!
[1724733042]	ETC starts!
7261	[1724733076]	2000000 OPS in 2.315943 seconds, throughput 863579.112267
7261	[1724733076]	2000000 OPS in 2.266480 seconds, throughput 882425.611521
7261	[1724733077]	2000000 OPS in 2.227326 seconds, throughput 897937.706470
7261	[1724733077]	2000000 OPS in 2.261809 seconds, throughput 884247.962582
7261	[1724733078]	2000000 OPS in 2.291038 seconds, throughput 872966.751315
7261	[1724733078]	2000000 OPS in 2.239916 seconds, throughput 892890.626256
7261	[1724733079]	2000000 OPS in 2.201115 seconds, throughput 908630.398684
7261	[1724733080]	2000000 OPS in 2.238062 seconds, throughput 893630.292637
7261	[1724733080]	2000000 OPS in 2.275126 seconds, throughput 879072.192046
7261	[1724733080]	2000000 OPS in 2.232403 seconds, throughput 895895.588745
7261	[1724733082]	2000000 OPS in 2.233176 seconds, throughput 895585.480052
7261	[1724733082]	2000000 OPS in 2.269864 seconds, throughput 881110.057695
7261	[1724733083]	2000000 OPS in 2.253648 seconds, throughput 887450.036563
7261	[1724733083]	2000000 OPS in 2.310352 seconds, throughput 865668.954341
7261	[1724733084]	2000000 OPS in 2.221881 seconds, throughput 900138.216223
7261	[1724733084]	2000000 OPS in 2.254371 seconds, throughput 887165.422195
7261	[1724733085]	2000000 OPS in 2.207695 seconds, throughput 905922.240165
7261	[1724733085]	2000000 OPS in 2.257011 seconds, throughput 886127.714929
7261	[1724733086]	2000000 OPS in 2.218980 seconds, throughput 901315.018612
7261	[1724733086]	2000000 OPS in 2.248832 seconds, throughput 889350.560647
7261	[1724733087]	2000000 OPS in 2.217262 seconds, throughput 902013.384075
7261	[1724733087]	2000000 OPS in 2.284881 seconds, throughput 875319.108523
7261	[1724733088]	2000000 OPS in 2.228111 seconds, throughput 897621.348308
7261	[1724733089]	2000000 OPS in 2.272723 seconds, throughput 880001.654403
7261	[1724733089]	2000000 OPS in 2.227845 seconds, throughput 897728.522406
7261	[1724733090]	2000000 OPS in 2.227387 seconds, throughput 897913.115233
7261	[1724733091]	2000000 OPS in 2.238124 seconds, throughput 893605.537495
7261	[1724733091]	2000000 OPS in 2.266079 seconds, throughput 882581.763478
7261	[1724733092]	2000000 OPS in 2.224212 seconds, throughput 899194.860922
7261	[1724733092]	2000000 OPS in 2.241884 seconds, throughput 892106.817302
7261	[1724733093]	2000000 OPS in 2.226199 seconds, throughput 898392.282092
7261	[1724733093]	2000000 OPS in 2.283745 seconds, throughput 875754.517251
7261	[1724733094]	2000000 OPS in 2.298296 seconds, throughput 870209.929443
7261	[1724733094]	2000000 OPS in 2.346427 seconds, throughput 852359.779358
7261	[1724733095]	2000000 OPS in 2.416418 seconds, throughput 827671.371427
7261	[1724733096]	2000000 OPS in 2.565188 seconds, throughput 779669.950117
7261	[1724733096]	2000000 OPS in 2.475316 seconds, throughput 807977.648106
7261	[1724733097]	2000000 OPS in 2.501390 seconds, throughput 799555.447171
7261	[1724733098]	2000000 OPS in 2.577458 seconds, throughput 775958.327934
7261	[1724733098]	2000000 OPS in 2.440599 seconds, throughput 819470.957744
7261	[1724733099]	2000000 OPS in 2.455787 seconds, throughput 814402.877774
7261	[1724733099]	2000000 OPS in 2.535355 seconds, throughput 788844.165807
7261	[1724733100]	2000000 OPS in 2.410855 seconds, throughput 829581.206667
7261	[1724733101]	2000000 OPS in 2.482850 seconds, throughput 805525.907727
7261	[1724733101]	2000000 OPS in 2.438211 seconds, throughput 820273.553027
7261	[1724733102]	2000000 OPS in 2.507941 seconds, throughput 797466.926056
7261	[1724733103]	2000000 OPS in 2.524508 seconds, throughput 792233.575810
7261	[1724733103]	2000000 OPS in 2.497006 seconds, throughput 800959.228772
7261	[1724733104]	2000000 OPS in 2.437654 seconds, throughput 820460.984209
7261	[1724733104]	2000000 OPS in 2.482980 seconds, throughput 805483.733256
7261	[1724733105]	2000000 OPS in 2.447303 seconds, throughput 817226.146497
7261	[1724733106]	2000000 OPS in 2.444098 seconds, throughput 818297.793296
7261	[1724733106]	2000000 OPS in 2.380865 seconds, throughput 840030.829131
7261	[1724733107]	2000000 OPS in 2.442496 seconds, throughput 818834.503721
7261	[1724733108]	2000000 OPS in 2.344463 seconds, throughput 853073.816904
7261	[1724733108]	2000000 OPS in 2.366288 seconds, throughput 845205.655440
7261	[1724733108]	2000000 OPS in 2.372159 seconds, throughput 843113.804766
7261	[1724733109]	2000000 OPS in 2.492191 seconds, throughput 802506.709959
7261	[1724733110]	2000000 OPS in 2.359453 seconds, throughput 847654.096098
7261	[1724733111]	2000000 OPS in 2.497704 seconds, throughput 800735.395387
7261	[1724733111]	2000000 OPS in 2.411558 seconds, throughput 829339.373136
7261	[1724733112]	2000000 OPS in 2.469289 seconds, throughput 809949.746668
7261	[1724733112]	2000000 OPS in 2.431169 seconds, throughput 822649.515521
7261	[1724733113]	2000000 OPS in 2.454888 seconds, throughput 814701.118748
7261	[1724733113]	2000000 OPS in 2.395055 seconds, throughput 835053.892291
7261	[1724733114]	2000000 OPS in 2.460723 seconds, throughput 812769.255215
7261	[1724733115]	2000000 OPS in 2.384901 seconds, throughput 838609.233675
7261	[1724733115]	2000000 OPS in 2.427555 seconds, throughput 823874.227360
7261	[1724733116]	2000000 OPS in 2.381089 seconds, throughput 839951.803566
7261	[1724733116]	2000000 OPS in 2.392779 seconds, throughput 835848.191580
7261	[1724733117]	2000000 OPS in 2.328532 seconds, throughput 858910.249032
7261	[1724733118]	2000000 OPS in 2.297074 seconds, throughput 870672.864697
7261	[1724733118]	2000000 OPS in 2.254372 seconds, throughput 887165.028664
7261	[1724733119]	2000000 OPS in 2.354506 seconds, throughput 849435.083198
7261	[1724733119]	2000000 OPS in 2.272747 seconds, throughput 879992.361666
7261	[1724733120]	2000000 OPS in 2.342314 seconds, throughput 853856.485510
7261	[1724733120]	2000000 OPS in 2.315719 seconds, throughput 863662.646461
7261	[1724733121]	2000000 OPS in 2.405338 seconds, throughput 831483.974394
7261	[1724733122]	2000000 OPS in 2.300691 seconds, throughput 869304.048219
7261	[1724733122]	2000000 OPS in 2.273816 seconds, throughput 879578.646645
7261	[1724733122]	2000000 OPS in 2.238327 seconds, throughput 893524.493964
7261	[1724733123]	2000000 OPS in 2.330886 seconds, throughput 858042.821485
7261	[1724733124]	2000000 OPS in 2.257992 seconds, throughput 885742.730709
7261	[1724733125]	2000000 OPS in 2.277093 seconds, throughput 878312.831316
7261	[1724733125]	2000000 OPS in 2.240230 seconds, throughput 892765.474974
7261	[1724733126]	2000000 OPS in 2.346401 seconds, throughput 852369.224186
7261	[1724733126]	2000000 OPS in 2.320663 seconds, throughput 861822.677399
7261	[1724733127]	2000000 OPS in 2.342457 seconds, throughput 853804.360123
7261	[1724733127]	2000000 OPS in 2.335959 seconds, throughput 856179.410683
7261	[1724733128]	2000000 OPS in 2.441073 seconds, throughput 819311.835410
7261	[1724733129]	2000000 OPS in 2.397059 seconds, throughput 834355.766796
7261	[1724733129]	2000000 OPS in 2.328562 seconds, throughput 858899.183273
7261	[1724733129]	2000000 OPS in 2.308501 seconds, throughput 866363.064170
7261	[1724733131]	2000000 OPS in 2.405863 seconds, throughput 831302.530526
7261	[1724733131]	2000000 OPS in 2.428373 seconds, throughput 823596.704460
7261	[1724733132]	2000000 OPS in 2.372677 seconds, throughput 842929.737170
7261	[1724733132]	2000000 OPS in 2.380752 seconds, throughput 840070.700350
7261	[1724733133]	2000000 OPS in 2.507398 seconds, throughput 797639.624822
7261	[1724733133]	2000000 OPS in 2.345929 seconds, throughput 852540.720542
7261	[1724733134]	2000000 OPS in 2.369059 seconds, throughput 844217.049892
7261	[1724733134]	2000000 OPS in 2.359502 seconds, throughput 847636.492785
7261	[1724733136]	2000000 OPS in 2.467341 seconds, throughput 810589.213246
7261	[1724733136]	2000000 OPS in 2.427016 seconds, throughput 824057.196162
7261	[1724733136]	2000000 OPS in 2.408786 seconds, throughput 830293.766237
7261	[1724733136]	2000000 OPS in 2.363582 seconds, throughput 846173.308140
7261	[1724733138]	2000000 OPS in 2.456050 seconds, throughput 814315.669469
7261	[1724733138]	2000000 OPS in 2.341916 seconds, throughput 854001.595275
7261	[1724733139]	2000000 OPS in 2.442709 seconds, throughput 818763.102768
7261	[1724733139]	2000000 OPS in 2.488336 seconds, throughput 803749.975888
7261	[1724733141]	2000000 OPS in 2.377774 seconds, throughput 841122.831690
7261	[1724733141]	2000000 OPS in 2.539905 seconds, throughput 787431.025964
7261	[1724733141]	2000000 OPS in 2.336473 seconds, throughput 855991.060029
7261	[1724733141]	2000000 OPS in 2.370612 seconds, throughput 843663.999001
7261	[1724733143]	2000000 OPS in 2.428279 seconds, throughput 823628.586336
7261	[1724733143]	2000000 OPS in 2.418216 seconds, throughput 827055.978457
7261	[1724733144]	2000000 OPS in 2.374411 seconds, throughput 842314.157069
7261	[1724733144]	2000000 OPS in 2.347985 seconds, throughput 851794.198004
7261	[1724733145]	2000000 OPS in 2.394821 seconds, throughput 835135.486118
7261	[1724733146]	2000000 OPS in 2.479660 seconds, throughput 806562.189978
7261	[1724733146]	2000000 OPS in 2.391428 seconds, throughput 836320.390997
7261	[1724733146]	2000000 OPS in 2.473814 seconds, throughput 808468.219519
7261	[1724733148]	2000000 OPS in 2.444338 seconds, throughput 818217.447833
7261	[1724733148]	2000000 OPS in 2.437802 seconds, throughput 820411.173672
7261	[1724733148]	2000000 OPS in 2.384635 seconds, throughput 838702.778413
7261	[1724733149]	2000000 OPS in 2.455716 seconds, throughput 814426.423902
7261	[1724733150]	2000000 OPS in 2.395937 seconds, throughput 834746.489578
7261	[1724733150]	2000000 OPS in 2.465190 seconds, throughput 811296.492360
7261	[1724733151]	2000000 OPS in 2.377619 seconds, throughput 841177.665555
7261	[1724733151]	2000000 OPS in 2.380010 seconds, throughput 840332.603645
7261	[1724733152]	2000000 OPS in 2.298412 seconds, throughput 870166.010271
7261	[1724733153]	2000000 OPS in 2.362689 seconds, throughput 846493.127111
7261	[1724733153]	2000000 OPS in 2.327068 seconds, throughput 859450.604795
7261	[1724733153]	2000000 OPS in 2.395233 seconds, throughput 834991.835867
7261	[1724733155]	2000000 OPS in 2.342402 seconds, throughput 853824.407595
7261	[1724733155]	2000000 OPS in 2.412930 seconds, throughput 828867.808018
7261	[1724733155]	2000000 OPS in 2.278787 seconds, throughput 877659.912927
7261	[1724733156]	2000000 OPS in 2.323934 seconds, throughput 860609.638656
7261	[1724733157]	2000000 OPS in 2.371875 seconds, throughput 843214.756258
7261	[1724733158]	2000000 OPS in 2.381303 seconds, throughput 839876.319813
7261	[1724733158]	2000000 OPS in 2.386043 seconds, throughput 838207.861300
7261	[1724733158]	2000000 OPS in 2.398797 seconds, throughput 833751.251148
7261	[1724733160]	2000000 OPS in 2.379350 seconds, throughput 840565.700717
7261	[1724733160]	2000000 OPS in 2.392256 seconds, throughput 836030.926456
7261	[1724733160]	2000000 OPS in 2.342392 seconds, throughput 853828.052691
7261	[1724733160]	2000000 OPS in 2.363100 seconds, throughput 846345.901570
7261	[1724733162]	2000000 OPS in 2.363318 seconds, throughput 846267.831921
7261	[1724733162]	2000000 OPS in 2.356776 seconds, throughput 848616.924137
